"uid","pair_d2","annotation_status","section","Q_bangla","A_bangla","Q_en","A_en","strict_direct_exp","broad_direct_exp","hearsay","A1_no_opinion","A2_no_opinion_lack_exposure","A3_humans_are_equal","A4_extended_help","A7_grateful_to_god","A8_express_gratitude","A9_prejudice","A10_suspicion","A11_bitter_contempt","A12_lack_of_interest","A13_empathy_sympathy","A14_aid","A15_compliments","A16_religious_fraternity","B1_no_benefits","B2_specific_pos_event","B3_financial_help","B4_more_jobs","B5_reduced_rent","B6_provided_shelter","B7_provided_food","C1_no_problems","C2_fear_concern","C4_increased_prices","C5_security_concern","C6_reduced_land","C7_reduced_wages","C8_reduced_jobs","C9_perceive_lack_morals","C10_movement_restrictions","C11_need_pay_rent","C13_reduced_resources","C14_enviro_harm","C15_increased_supervis","C16_quarrel_dispute","C17_overcrowded","D1_no_actions","D2_vague_action","D3_social_harmony","D4_allocate_resources","D5_leave_evacuate","D6_govt_knows_better","D7_does_not_know","D8_remain_disciplined","D9_stronger_boundary","D10_econ_integrat","D11_sources_of_info","D12_more_interact","D13_increased_mobility","shuffle_var"
"H012003006",5069,"annotated","A","আচ্ছা আচ্ছা। খুব ভাল বলেছেন আপু। খুবই সুন্দর করে বলেছেন। আপা বলেনতো রোহিঙ্গা আছে না?","হ্যা।","ok ok Very well said. Very nicely said. You say there are no Rohingya?","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H012003006",5070,"annotated","A","রোহিঙ্গা সম্পর্কে আপনার কি বলার আছে একটু বলেনতো।","রোহিঙ্গাদের বিষয় নিয়ে আমি কিছু জানি না বোন।","What do you have to say about the Rohingya?","I don't know anything about the Rohingya issue, sister.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H012003006",5071,"annotated","A","যদি কিছু একটা জানেন বা শুনেন।","রোহিঙ্গাদের যে ওখানে নারাখে ওটাই আমার ইচ্ছা। আমার ওদেরকে ভাল লাগে না। ওদের ব্যবহার ভাল লাগে না প্রথম। ওদের ওখানের পরিবেশটা ভাল না। তাদের এখানে রাখলেও ভাল হবে না।","If you know or hear something.","It is my wish that the Rohingyas live there. I don't like them. I don't like using them first. Their environment there is not good. It would not be good to keep them here.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"H012003006",5072,"annotated","A","ঠিক আছে আপা। আপা আপনি এমন একটা ঘটনা বলতে পারবেন আপনার মনে হয়েছে যে রোহিঙ্গারা আসাতে।","রোহিঙ্গারা আমাদের পাশের একটা গ্রামের মানুষের আত্নীয় ছোট বাচ্চা 15/16 বছরের। তাকে দোকানে রেখেছে। দোকান থেকে টাকাগুলো নিয়ে গেলে তোমার মালিককে বলে দিব বলেছে আমাদের একটা পাশের লোক, তখন মানুষ ঐটাকে জবাই করেদিয়ে কাগজ বেধে ফেলে দিয়েছে। ওরা কি মানুষ ভাল?","ok you You can tell an incident where you think the Rohingyas are coming.","The Rohingyas are 15/16 year old relatives of a village near us. He is kept in the shop. When you take the money from the shop, I will tell your owner, a neighbor told us, then people slaughtered it and threw it away with a paper. Are they good people?",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H012003006",5073,"annotated","A","ও আচ্ছা, ঠিক আছে আপু।","বাংলাদেশে যেন রোহিঙ্গাদের না রাখে ওটাই চাই। তাহলে আমি খুশি আমি সাধারণ মানুষ হয়তো কিছু করতে পারব না। বলতেও পারতেছি না। কিছু চাওয়া পাওয়া করতে পারতেছি না। আমি যদি কিছু হতাম তাহলে কিছু করতে পারতাম।","Oh well, ok sister.","I want Rohingyas not to be kept in Bangladesh. Then I'm happy, I'm a normal person, maybe I can't do anything. I could not even say. Couldn't get anything requested. If I were something I could do something.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"H012003006",5074,"annotated","B","ঠিক আছে আপু। আপনার যা মতামত। আপনি আমাকে যে বলতেছেন বোনের মত খুবই ভাল লাগতেছে। আপু এবার একটু বলেনতো এমন একটা ঘটনা বলতে পারবেন? রোহিঙ্গারা আসাতে আপনাদের উপকার হয়েছে।.","না আমাদের কোন উপকার হয় নাই।","ok ma'am What is your opinion? It sounds like you're talking to me like a sister. Can you tell me something like this? The arrival of the Rohingyas has benefited you.","No, we have no benefit.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H012003006",5075,"annotated","C","আচ্ছা আপু এমন একটা ঘটনা বলেতে পারবেন মনে হয়েছে যে রোহিঙ্গারা আসাতে আপনাদের অপকার হয়েছে।","হ্যা। অবশ্যই। ওদের কারণে খাবার দাবার খেতে পারতেছি না। ওদের কারণে সবকিছু দামি হয়ে গিয়েছে।","Well, you can tell an incident where you feel that the Rohingyas have wronged you.","yes of course I could not eat because of them. Everything has become expensive because of them.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H012003006",5076,"annotated","C","এটা ছাড়া আর কোন অসুবিধা থাকলে বলতে পারবেন।","সবকিছু কিনতে পারতেছি না। চাল, ডাল সবকিছু দামি হয়ে গিয়ে। আমাদের অসুবিধা বলতে সবদিকে অসুবিধা না?","Apart from this, if there is any problem, you can tell me.","Couldn't buy everything. Rice, dal everything became expensive. Do we say the difficulty in all directions?",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H012003006",5077,"annotated","C","ঠিক আছে আপু। আপা সবদিক দিয়ে অসুবিধা বলতে আর একটু বলেণতো। সবদিক দিয়ে অসুবিধা বলতে কি রকম অসুবিধা?","সবদিকে অসুবিধা বলতে তারা এখানে এসে কাজকর্ম বন্ধ করে দিতেছে। ওরা মানুষ ক্যাম্পে থাকে নাকি? সবাই তো চুরি করে বাঙ্গালী পোশাক পড়ে এখানে ওখানে ছড়িয়ে যায়। গ্রামে গ্রামে এস যায়। তারা আমাদের চেয়ে ভাল করে চলতে পারে। আমরা বাংলাদেশী হয়ে যেই রকম চলতে পারি তারা আমাদের চেয়ে ভাল করে চলতে পারে। আমার যেখানে কানে দোল দিতে পারি না। তারা একজোড় না দশ জোড়া দিতে পারতেছে। ওদরে সরকারেও সাহায্য করে। বেদেশিরাও সাহায্য করে। আমাদেরকে কে দিচ্ছে। 2 বছর লকডাউন হয়েছে আমাদেরকো তো 1 কেজি চাল দেয় নাই। শুধু 2500 টাকা ছাড়া। আর কিছুতো দেয় নাই।","ok ma'am You should have said a little more about the difficulty in all aspects. Difficulty in all directions what kind of difficulty?","They are coming here to stop the work because of all the difficulties. Do they live in people's camps? Everyone steals and wears Bengali clothes and spreads here and there. Goes to village to village. They can do better than us. They can do better than us as Bangladeshis. Where I can't swing my ears. They can give one pair or ten pairs. It also helps the government. Foreigners also help. Who is giving us It has been 2 years of lockdown and we have not been given 1 kg of rice. 2500 only except Rs. Nothing else is given.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"H012003006",5078,"annotated","D","আচ্ছা আচ্ছা। আপা কি করলে রোহিঙ্গা এবং বাংলাদেশীদের মধ্যে সম্পর্ক আরও ভাল করা যায় বলে মনে করেন?","সম্পর্ক ভাল করতে হবে না। ওদেরকে যে কোন ভাবে তাদের দেশে পাঠিয়ে দিলে আমরা খুশি। তারাও যেন আমাদের মত করে থাকতে পারে। যেহেুতু তারাও মুসলিম।","ok ok What do you think can improve the relationship between Rohingyas and Bangladeshis?","Relationships do not improve. We are happy to send them back to their country by any means. May they also be like us. Because they are also Muslims.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
